title,label_score
"Masuk Radar, Menantu Jokowi Bertemu DPW",0.0
Malaysia RI: Isu Asap Invasi Babi,0.0
Viral! Ojol di Bekasi Antar Sepeda,1.0
"Salurkan Rp 7, bagi Korban Kerusuhan Sosial di Papua",0.0
MPR: Amandemen UUD Akan Melebar ke -,0.0
"Peringati Islam, Banyuwangi Kembali Festival Muharam",0.0
"Wanita Asal Nyaris Makassar, Pelaku Diburu",0.0
HNW Sebut GBHN Pembangunan RI Panjang,0.0
"Ada di Atas Bambu di Sleman,?",1.0
JakPro Jawab Adhi Karya soal Diberi ke Wika,0.0
Gamblang Revisi UU KPK,1.0
Lokasi Presiden RI Papua 15 Menit Lewat,0.0
Taman Asia Afrika di Bandung Angin Kencang,0.0
"PB Djarum, Zon: Mestinya Bisa Dimusyawarahkan",0.0
Pengacara Ajukan Penahanan Kivlan,0.0
Eksepsi Bassist Boomerang Hubert Kasus Ganja Ditolak,0.0
"Jenguk di, Kepala BPPT: Semangat Recovery",0.0
JK Jenguk di Gatot,0.0
"Mobil Pohon di Indah, Pengemudi Terluka",0.0
Demokrat Museum dan SBY - Ani di Pacitan,0.0
Mendagri Pelaksanaan di Papua Dilanjutkan,0.0
"Tegaskan Dukung, : Kami Tak Kenal",0.0
"Peredaran Tanpa, Omzet Sebulan Capai 1, Miliar",0.0
"Mayat Pria Ditemukan di, Diduga Tenggelam",0.0
"Anak Habibie ke: Dimengerti, Bapak Perlu",0.0
KPK Korupsi Dianggap: Banyak Uang Negara,0.0
Inisiasi Gerakan # IndonesiaDermawan,0.0
Demokrat Jokowi Bangun Istana Papua,0.0
Menkum HAM Sudah Kaji KPK,0.0
Gelar Diskusi Pelaksanaan UUD di Yogyakarta,0.0
Kocak! di Rumah Mewah Jakut CCTV Bingung Cari,1.0
Tanggapi: Hukum Boleh Terikat Komitmen Politik,0.0
Sebut Dakwaan Kivlan Dipaksakan,0.0
Belanda Mati dan Putrinya Lalu Bunuh Diri,0.0
6 Perampok Warga Tewas di Sumsel,0.0
"Jadi Kabut, RI Akan Surati Malaysia",0.0
"Diminta Mekarkan Wilayah Papua, : Ada Undang -",0.0
"Video Diduga Baku Tembak Sleman, Ini Polisi",1.0
PU dan 2 Kabupaten Mandailing Natal Sumut,0.0
"Ditolak, Hak Eks Bupati Katingan Dicabut",0.0
"Kecelakaan 4 Kendaraan Lenteng, 2 Luka - luka",0.0
"KPK: Transaksi Lintas Negara, Tak Mudah",0.0
"Diawasi Kong, Aktivis Joshua Terbang ke",0.0
Anggota DPRD Gadaikan SK Sebagai Jaminan Potong,0.0
Ical BJ Habibie di RSPAD: Kita,0.0
175 Orang dan 4 Jadi Karhutla - Kalimantan,0.0
Fenomena Gadai Dewan Juga di DPRD Serang,0.0
Dan Mahasiswa Unair Revisi UU KPK,0.0
"KPK Surati DPR, Minta Tak yang Lemahkan KPK",0.0
"Waspada! Penipuan Pertamina, Korbannya Puluhan",1.0
Ekoturisme: Pelajaran Negara,0.0
"5 Tahun DPD RI, OSO: Ada Daerah",0.0
MUI: Pelaku Karhutla Taat Beragama,0.0
Penyelundupan. 253 Lobster Tujuan Digagalkan di,0.0
"Kecelakaan dan Truk di Cipularang, 2",0.0
"Berita, HNW Khawatirkan Bangsa Indonesia",0.0
Harap Eks Dirut Bisa Buka Kotak Pandora Mafia,0.0
Hamas Tembak Jatuh Jalur Gaza,0.0
Keberatan Kivlan Zen Didampingi Hukum Militer,0.0
"Jaksa - Tajam Pembelian Kivlan Zen cs, Rinciannya",1.0
Dishub Minta Polda Data Kebutuhan E - TLE Genap,0.0
Olah TKP Kecelakaan Maut Tewaskan Orang Nganjuk,0.0
"Miliaran Rupiah Milik Pemprov, Polisi Tangan",0.0
HAM Cabut Paspor Koman: Ada Ketentuannya,0.0
Sering Quality Time Bersama Keluarga?!,1.0
"Jokowi 55% Profesional,?",1.0
Desak Jokowi Tolak UU KPK Lumpuhkan Kinerja KPK,0.0
"Penyerangan Ditutup, Trotoar Tetap Ditilang",0.0
Tangkap 2 yang Rugikan BUMN 16 Miliar,0.0
"Datang ke Pembekalan Caleg Demokrat, SBY",0.0
Aktivis Perempuan Nilai PKS oleh RUU,0.0
"Belum, Kecelakaan Cipularang Diduga Perempuan",0.0
Siswi SMK Bandung Ditikam Dekat Tolak Cinta,0.0
"Tak Penuhi, Veronica Bakal Jadi DPO",0.0
