title,label_score
"di dalam pilwalkot merdeka, menantu datang bertemu dpw perti sumut",0
malaysia memberikan hijau : isu kabut kerangka babi invasi babi,0
keterangan! kapita ojol di daftar antar waktu makanan pakai sepeda,1
"dana pendidikan sebanyak 7, 3 miliar bagi korban kerusuhan wamena di papua",0
"terkait mayat bayi jerman di manchuria, polisi pria dipanggil polisi",0
"uang muka 45, 50 m yang raib karena parkiran kantor gubernur dibutuhkan untuk penyelesaian tapd",0
misalnya : malah uud asli tak akan melebar dari mana - mana,0
sekarang istana menteri tengah rekonsiliasi nama papua,0
"peringati sunat baru islam, datang timur dengan festival muharam",0
"artikel asal afganistan nyaris diperkosa di jalanan gelap, wanita diburu",0
dan sebut gbhn makna mata anggaran ri jangka panjang,0
"ada motor besar itu atas mobil di dalam, masyarakat bisa?",1
tanya jawab protes 122 karya soal tender proyek jis indonesia arti lain,0
pesan agar poyuono dan revisi buku kpk,1
"mayat di perkebunan bawang hungaria pada tubuh, dibunuh remaja yang dipalaknya",0
"jenguk berlian habibie, ketua dewan dari wartawan kedua : prosesnya positif, sebagainya",0
lokasi istana presiden jakarta di papua melalui tangga lewat jembatan dari,0
hiasan taman south afrika di bandung cepat diterjang angin ini,0
"polemik cinta djarum memon dangdut, sehingga assegaf : belum bisa dimusyawarahkan",0
pengacara ajukan perawatan penahanan setelah restrukturisasi,0
seorang pria depresi bakar mobilnya tidur di atas makan akhir,0
ada pengarang boomerang persahabatan ahmad dalam kasus ganja ditolak hakim,0
"jenguk bj pesona di madura, kepala dua : 3 semangat budaya",0
jk jenguk korban di rspad grogol dll,0
"sebuah mobil pagar pohon di pondok melati, beberapa terluka",0
demokrat dan membeli ad dan art baru sby - ani di pacitan,0
diinginkan jamin pelaksanaan layanan ukm di papua dilanjutkan,0
hukum pemulihan ketua umum golkar melchias mekeng ke atas dari,0
"kata wajah pemerintah, pd : kami masih pernah menjadi oposisi",0
"peredaran kembali tanpa izin dibongkar, nilai pembelian bunga rp 1, 7 miliar",0
"mayat akhirnya ditemukan kembali pasar bekasi, diduga sponsor tenggelam",0
"pesan terakhir habibie jerman atas : mohon dimengerti, bapak minta istirahat",0
kpk diam pada korupsi pernah judul : banyak uang negara diselamatkan,0
isu inisiasi gerakan ekonomi # 2014,0
adalah dukung langkah jokowi bangun bupati bupati papua,0
dan ham tidak kaji draf revisi organisasi kpk,0
yang memberikan diskusi evaluasi akhir uud di yogyakarta,0
00 - selesai lima kendaraan alami kecelakaan beruntun 5 lh,1
kocak! sedang di rumah mewah terdengar terekam merasa bingung ingin jalan lainnya,1
"resolusi kasus yang dibuang di asrama tiger, polisi alternatif akses dll",0
kpk tanggapi bulu : penegakan hukum juga boleh jika komitmen dm,0
kronologi baru tikam dan smk 9 karena cinta aku,0
hanya atas dakwaan kivlan zen plus,0
polisi ini tembak ke istri ayah 2 putrinya lalu menemukan diri,0
antara perampok bersebo tembak kabur hingga kecelakaan di sumsel,0
"tepis wanita penyebab tunggal kabut asap, ri ada ada •",0
"partai pelopor pembangunan wilayah papua, jk : aliansi undang - batas",0
"ingin jk, mungkin saja sp3 bisa disalahgunakan",0
"hampir seluas jabar, membuat tantangan sintang siapkan k h",1
"viral tidak diduga terjadi cedera di sleman, ini tidak polisi",1
kadis kebersihan dan 2 pns kabupaten nias utara ditahan petinju sumut,0
"ini ditolak, hak politik eks rakyat katingan sebuah rencana",0
"tidak seperti hal yang wajar, dprd jakarta : tak banyak pula yang menyimpan",0
"dari pabrik gula asia, polisi sita sayur nangka",0
"korban beruntun 9 gerbong di lenteng agung, 2 pemotor baru - gur",0
"kpk bongkar mafia uang : keong menguntungkan obligor, tak mudah diungkap",0
"diawasi di hong rutan, aktivis izin untuk terbang ke bandara",0
provinsi kotamadya surabaya gadaikan sk sita jaminan untuk potong kembali,0
sejak jenguk bj pindah ke rspad : kita doakan yang ikhlas,0
175 orang berangkat ke korporasi jadi sandra kasus – sumatera - kalimantan,0
ancaman edy belum lama bisnis miliaran milik pemprov hilang,0
giliran alumni unnes menangani masa revisi ruu kpk,0
fenomena muda kepala sekretaris dewan juga terjadi di pemkab serang,0
akademisi dan mahasiswa ingin tolak revisi fakta sejak,0
"pegawai tahun ini fraksi di dpr, minta untuk hanya capim yang pro dan",0
"menipu! ancaman penipuan catut pertamina, korbannya rugi pemelihara peraturan",1
buruk : pelajaran besar kucing kucing kecil,0
"dengan panjang tahun dpd ri, oso : kami ada gambar rekonstruksi",0
daerah riau : indonesia karhutla orang senang diakui beragama,0
"menurut sk, anggota dprd jabar menolak thr hingga f 1 miliar",0
penyelundupan 19. masyarakat islam modern tujuan singapura untuk di makassar,0
"aksi beruntun sebuah truk terbakar balik cipularang, 2 orang pemeran",0
"pembawa berita negatif, hnw maupun anak bangsa resolusi",0
kpk dikenakan jeratan sementara maria petral bisa buka ratu pandora mafia baca,0
hamas palestina pada drone israel pada jalur gaza,0
atau hem kivlan akan didampingi kuasa hukum dari tanah,0
"pribadi pemimpin, eks dirut petral diserah terima suap usd 2, yang berikut",0
jaksa : duit rp 25 juta membela chiang zen ke tok - rupiah sambas dan luhut,0
"dia beberkan senpi - jarum medis kepada sinar merah cs, ini rinciannya",1
diputus padahal dari meningkatkan kebutuhan e - tle untuk area perluasan ganjil genap,0
ketika cinta tkp sekolah maut tewaskan 3 siswi di nganjuk,0
"uang miliaran persen milik regional sumut hilang, itu turun keterangan",0
karet ham untuk segel paspor malaysia koman : pertama ketentuannya,0
o quality food bersama keluarga? ternyata masih banyak manfaatnya!,1
