Unnamed: 0.1,Unnamed: 0,title,category,has_exclamation,has_question,has_number,num_count,mark_count,original_title,label_score
101,101,Tinggi guru muhammadiyah indonesia uu tolak revisi kpk,Berita_indonesia,0,0,1,2,0,40 Perguruan Tinggi Muhammadiyah se-Indonesia Tolak Revisi UU KPK,0
8448,8448,tiga nikah onadio bulan karunia ronaldo anak pertama wajah ganteng,Hiburan_&_Selebriti,0,0,0,0,1,"Tiga Bulan Nikah, Onadio Ronaldo Dikaruniai Anak Pertama Berwajah Ganteng",1
7372,7372,sosok sukanto tanoto bakal buat yang ada lahan di ikn kaltim jadi begini peran mudah,Berita_indonesia,0,0,0,0,1,"Sosok Sukanto Tanoto yang Bakal Buat Pengadaan Lahan IKN di Kaltim jadi Mudah, Begini Perannya",1
5720,5720,Dprd anggota sumut provinsi lantik,Regional_&_Daerah,0,0,1,3,0,100 Anggota DPRD Provinsi Sumut Dilantik,0
6806,6806,di polisi temu meksiko mayat mutilasi yang,Berita_indonesia,0,0,1,2,0,Polisi di Meksiko Temukan 44 Mayat yang Dimutilasi,0
1206,1206,fakta lengkap produc x tahu yang perlu kamu,Hiburan_&_Selebriti,0,0,1,3,0,Fakta Lengkap Produce X101 yang Perlu Kamu Tahu,1
5869,5869,ketua sebut isu kpk talib untuk rusak lembaga citra,Berita_indonesia,0,0,0,0,0,Ketua KPK Sebut Isu Taliban untuk Rusak Citra Lembaganya,0
1862,1862,lot video youtub smartphon di ini cara atas,Teknologi_&_Sains,0,1,0,0,1,"Video YouTube ""Lemot"" di Smartphone? Ini Cara Mengatasinya",1
6232,6232,uu revisi kpk potensi anggap untung sda mafia,Berita_indonesia,0,0,0,0,0,Revisi UU KPK Dianggap Berpotensi Untungkan Mafia SDA,0
1476,1476,alami sempat darah irish berhatihati bella lebih,Hiburan_&_Selebriti,0,0,0,0,1,"Sempat Alami Pendarahan, Irish Bella Lebih Berhati-Hati",0
5494,5494,tangan hoak indonesiamalaysia kerja bidang sama govern public rat,"Keuangan,Ekonomi_&_Bisnis",0,0,0,0,1,"Tangani Hoaks, Indonesia-Malaysia Kerja Sama Bidang Government Public Relation",0
7662,7662,lirik sempat heboh zico bikin akhir rili keren mv extrem untuk,Hiburan_&_Selebriti,0,0,0,0,1,"Liriknya Sempat Bikin Heboh, Zico Akhirnya Rilis MV Keren Untuk 'Extreme'",1
1947,1947,watford vs arsen gunner the gagal tahan unggul gol,Olahraga,0,0,1,1,1,"Watford Vs Arsenal, The Gunners Gagal Pertahankan Keunggulan 2 Gol ",0
4121,4121,pemprov dorong jabar juara transportasi,Berita_indonesia,0,0,0,0,0,Pemprov Jabar Dorong Transportasi Juara,0
5578,5578,klaim selundup bnn narkotika indonesia ke turun,Regional_&_Daerah,0,0,1,2,0,BNN Klaim Penyelundupan Narkotika ke Indonesia Menurun 30%,0
1352,1352,sinopsi sinetron cinta buta tayang mei senin,Hiburan_&_Selebriti,0,0,1,5,1,"Sinopsis Sinetron 'CINTA BUTA' Tayang Senin, 6 Mei 2019",0
8535,8535,Korban ratus bakar setiabudi di ungsi di rptra kebon ini sawo malam,Regional_&_Daerah,0,0,0,0,0,Ratusan Korban Kebakaran di Setiabudi Mengungsi di RPTRA Kebon Sawo Malam Ini,0
1267,1267,alam kenyang main sinetron mehnaz coba marinez ingin layar film lebar,Hiburan_&_Selebriti,0,0,0,0,1,"Kenyang Pengalaman Main Sinetron, Mehnaz Marinez Ingin Coba Film Layar Lebar",0
7047,7047,sidang kivlan praperadilan soal zen sita ponsel mobil dan tetap jalan di pn jakarta selatan,Berita_indonesia,0,0,0,0,0,Sidang Praperadilan Kivlan Zen Soal Penyitaan Ponsel dan Mobil Tetap Berjalan di PN Jakarta Selatan,0
4357,4357,bandung latih blitar unit undur diri,Olahraga,0,0,0,0,0,Pelatih Blitar Bandung United Mengundurkan Diri,0
8088,8088,millendaru seksi pakai baju kurang mirip bahan taplak cara meja aneh jalan haid sorot lagi,Hiburan_&_Selebriti,0,1,0,0,2," Millendaru Seksi Pakai Baju Kurang Bahan Mirip Taplak Meja, Cara Jalan Aneh Disorot Lagi Haid?",1
