title,label_score
"untuk masuk menjadi radar pilwalkot medan, menantu suci jokowi bertemu dpw gerakan nasdem profesional sumut",0
di malaysia tiga sudutkan ri : isu kabut asap inggris hingga ke invasi babi,0
title viral! keterangan driver ojol di bekasi antar pesanan makanan habis pakai dengan sepeda,1
"di kemensos mari salurkan saja rp k 7, 95 3 m bagi korban kerusuhan sosial di papua",0
"terkait mayat bayi mengenaskan pemakaman di tangerang, salah seorang agen pria asing ditangkap polisi",0
"penyerahan uang rp 1, 00 6 b m pekerjaan yang dikenakan raib selama di parkiran kantor gubernur sumut untuk honor tapd",0
mpr : berarti amandemen iv uud 1945 tak akan bergerak melebar ke taraf mana - mana,0
ingin muncul istana militer di tengah rekonsiliasi pasca rusuh papua,0
"dengan peringati tahun baru islam, pada banyuwangi warga kembali melaksanakan gelar festival muharam",0
"wanita seksi asal kendari nyaris diperkosa di mobil jalanan daerah makassar, pelaku perlahan diburu",0
hnw sebut gbhn siap jamin nama rencana pembangunan daerah ri panjang jangka panjang,0
"lagi ada motor nyangkut di atas dinding bambu di kabupaten sleman, masyarakat kok jadi bisa?",1
jakpro jawab penuh protes adhi ek karya isi soal pelaksanaan tender proyek jis diberi ke la wika,0
mengirim pesan dengan gamblang poyuono menolak revisi empat uu kpk,1
"berita mayat bergerak di peron ladang merah tebu malang adalah rencana begal, dibunuh remaja yang dipalaknya",0
"jenguk minus bj habibie habibie, ketua dewan pers andi m nuh : perubahan prosesnya positif, dan bagus",0
lokasi istana presiden ri berada di wamena papua hijau 15 menit lewat jembatan di holtekamp,0
global hiasan taman air asia afrika di bandung rusak diterjang angin angin kencang,0
"polemik kawasan pb djarum barat dan polemik kpai, fadli ahmad zon : masih mestinya bisa dicoba dimusyawarahkan",0
kru pengacara tetap ajukan administrasi penangguhan penahanan kivlan zen,0
seorang anggota pria depresi bulu bakar dan mobilnya sendiri di tempat pembuangan akhir,0
eksepsi bassist boomerang christian hubert henry dalam menyatakan kasus pemberantasan ganja ditolak untuk hakim,0
"hukum jenguk x bj habibie meninggal di rspad, serpong kepala badan bppt : beliau semangat recovery",0
jk jk jenguk habibie di belakang rspad letkol gatot soebroto,0
"sebuah mobil tertimpa pohon pohon di pondok pondok indah, seorang pengemudi terluka",0
demokrat itu akan segera bangun museum dan arts art juga gallery sby - ani di pacitan,0
mendagri jamin janji pelaksanaan uu darurat otsus terpadu di papua dilanjutkan,0
petugas kpk cegah alamat ketua majelis fraksi golkar melchias alexander mekeng ke luar dalam negeri,0
"tegaskan mu dukung pemerintah, dan pd : kami jadi tak pernah saja kenal oposisi",0
"peredaran baru snack tanpa garis izin dibongkar, omzet sebulan baru capai rp 1, 4 5 c miliar",0
"nama mayat muda pria ketika ditemukan plaza di kalimalang bekasi, diduga korban tenggelam",0
"pesan bicara anak christina habibie ke penjenguk : dokter mohon dimengerti, bapak masih perlu istirahat",0
perawatan kpk dan curhat pencegahan korupsi pun tak dianggap : banyak uang simbol negara diselamatkan,0
act adalah inisiasi gerakan relawan nasional # a indonesiadermawan,0
12 demokrat dukung jejak langkah jokowi bangun dua istana di papua,0
menkum dep ham sudah seminggu kaji draf revisi pertama uu kpk,0
akan mpr gelar indonesia diskusi hasil evaluasi pelaksanaan uud di yogyakarta,0
detik - ke detik lima hari kendaraan alami penyebab kecelakaan yang beruntun di cipularang,1
kocak! maling di rumah mewah jakut timur terekam dengan cctv masih bingung untuk cari pengganti jalan kabur,1
"selidiki sejak kasus ular dibuang di dekat asrama papua, 2014 polisi tentara terganjal pada akses masuk",0
kasus kpk tanggapi dpr : penegakan kontrak hukum tak pernah boleh terikat komitmen dpr politik,0
kronologi s2 barista tikam milik siswi dari smk 9 bandung karena cinta ditolak,0
pengacara sebut sebutan dakwaan kivlan hukum zen zen dipaksakan,0
atau polisi belanda tembak hukuman mati istri dan mata 2 putrinya lalu saja bunuh diri,0
6 para perampok mati bersebo tembak warga hingga jatuh tewas di sumsel,0
"berarti tepis jadi penyebab penyakit tunggal kabut per asap, ri sja akan surati malaysia",0
"kabinet jokowi kusnadi diminta mekarkan semua wilayah papua, jk : tak ada undang - 22 undangnya",0
"respons jk, disingkat kpk sebut sp3 ak bisa cukup disalahgunakan",0
"hampir seperempat seluas alun jabar, ini tantangan sintang siapkan generasi s emas",1
"viral video selama diduga baku polisi tembak di sleman, hal ini kata ekonomi polisi",1
kadis yang pu dan 2 pns skt kabupaten mandailing mandailing natal ditahan kejati bangk sumut,0
"perkara banding tinggi ditolak, hak politik rakyat eks bupati bau katingan dicabut hakim",0
"gadai sk hal kecil yang wajar, anggota dprd surabaya : namun tak banyak anak bank saja yang melirik",0
"karyawan tetap pabrik boneka keracunan, s polisi sita petani sayur nangka",0
"artikel kecelakaan kendaraan beruntun 4 pihak kendaraan arah di lenteng agung, 2 pemotor luka - nya luka",0
"kpk akan bongkar mafia baru migas : transaksi migas lintas pendapatan negara, tak mudah diungkap",0
"meskipun diawasi di bandara hong kong, program aktivis joshua wong terbang ke atas berlin",0
anggota dprd jakarta surabaya gadaikan pasal sk sebagai jaminan barang untuk potong jenis gaji,0
s2 ical jenguk habibie bj bb habibie harus di rspad : kita doakan yang terbaik,0
175 orang tersangka dan karena 4 korporasi jadi lagi tersangka karena karhutla yang di sumatera - kalimantan,0
gubernur edy dan belum tahu uang miliaran milik perum pemprov kaltim hilang,0
giliran alumni sd unnes serukan aksi tolak disahkan revisi uu kpk,0
sedangkan fenomena gadai sk anggota dewan juga sedang terjadi di kop dprd 05 serang,0
akademisi dan para mahasiswa unair • tolak revisi uu ttg kpk,0
"pegawai kpk surati fraksi pdip di dpr, yang minta suap tak pilih proyek capim bantuan yang akan lemahkan kpk",0
"kali waspada! ada penipuan mobil catut pertamina, setiap korbannya baru rugi puluhan juta",1
ekoturisme : pelajaran tiga besar sosial dari negara pendidikan kecil,0
"kata refleksi politik 5 tahun dpd ri, oso : kami ada pembaruan untuk kehidupan daerah",0
mui provinsi riau : seorang pelaku muslim karhutla dan orang tak taat beragama,0
"mahasiswa gadaikan terhadap sk, anggota dprd propinsi jabar terima kredit baru hingga rp 1 miliar",0
penyelundupan besar 19. 600 253 benih kelebihan lobster tujuan singapura akan digagalkan di makassar,0
"statistik kecelakaan truk beruntun dan truk terbakar di perempatan cipularang, 2 juta orang luka",0
"banyak berita negatif, serta hnw kita khawatirkan reformasi moral demi bangsa indonesia",0
kpk aku harap jeratan oleh eks dirut petral bila bisa buka giliran kotak pandora mafia pol migas,0
untuk hamas tembak bisa jatuh 4 drone israel di jalur gaza,0
mengganggu jpu isi keberatan dengan kivlan zen didampingi kuasa kuasa hukum dari militer,0
"jadi tersangka, eks dirut petral diduga bendahara terima satu suap sehingga usd ini 2, ka 9 juta",0
kepada jaksa : duit harian rp 500 25 juta saja dari kivlan zen modal mata - matai untuk wiranto dan seorang luhut,0
"jaksa ini beberkan satu senpi - peluru besi tajam pembelian kivlan dari zen tinggi cs, ini ada rinciannya",1
dishub minta polda tambahan data termasuk kebutuhan untuk e - tle di area perluasan huruf ganjil tabel genap,0
polisi olah tkp kecelakaan bencana maut statistik tewaskan berdarah 3 orang orang di nganjuk,0
"uang palsu miliaran rupiah rupiah milik pemprov sumut sudah hilang, polisi turun campur tangan",0
bawah menkum ham tahu soal jasa cabut paspor kasus veronica koman : ada sisi ketentuannya,0
telah sering minum quality time bersama – keluarga? ternyata baru ini 3 manfaatnya!,1
"menteri keuangan jokowi cepat 55 % kontrak profesional, ini kandidatnya?",1
lipi desak aktif jokowi 2019 tolak rencana revisi empat uu kpk yang lumpuhkan kinerja kpk,0
"kasus kasus penyerangan ditutup, pemotor mulai naik retribusi trotoar tetap dan ditilang",0
bareskrim tangkap 2 dan pembobol jaringan yang akan rugikan atm bank bumn 2016 rp 16 miliar,0
"datang telat ke pembekalan caleg pks terpilih rakyat demokrat, sby di beri arahan tertutup",0
merah aktivis perempuan prihatin nilai ruu pks tersandera hanya oleh ruu kuhp,0
"mana belum telanjur teridentifikasi, 4 korban kecelakaan cipularang barulah diduga bahwa perempuan",0
siswi siswa smk 4 bandung ditikam dekat sekolah sebelah karena racun tolak cinta pelaku,0
"sebut bilang pemilihan capim dan kpk cacat yuridis, ini bukanlah saran aryo samad ke dpr",1
"jika jika anda tak jadi kunjung terus penuhi panggilan, maka veronica koman bakal jadi dpo",0
"api pria hitam misterius berjubah putih viral pertama di sumut, ingatkan'uh tuhan kan murka '",1
kecil adik mereka soal hoax habibie saja meninggal : mbok jangan lagi gitu isengnya,0
"jk bicara perlunya kpk yang punya 6 sp3, contohkan korban kasus narkoba rj a lino",0
antara tidur siang 1 - kira 2 24 kali seminggu kurangi status kemungkinan serangan jantung,0
polisi simpulkan bos sembako terletak di jalan cilegon kiri tewas bunuh diri,0
sekadar menengok kepada pantai mustika banyuwangi,0
"asap pekat selimuti kondisi riau, jika pemprov rusli gelar salat murah minta hujan besok",0
"soal kontrak politik atau capim su kpk, panggil fahri dengan sebut ancaman agar taat undang - undang",0
caketum hipmi : tenaga pengusaha ri harus memiliki punya paham jiwa nasionalisme wanita yang semakin kuat,0
"kpu solo 1 ajukan dana sejumlah rp 17, 8 t m usaha untuk mendukung pilwalkot 2020",0
nama utusan vip khusus tamu presiden akan gelar munas tokoh antaragama,0
"panggil veronica — koman, dua polisi tunggu hingga berakhir dua belas pekan ke depan",0
hukum kpk tetapkan eks pejabat pertamina energy jadikan tersangka baru mafia migas,0
"dipeluk si istri sebelum jalani sidang, kisah kivlan muda zen tidak menangis",0
"video porno di polres sumedang mulai disebar dua pemeran pria, apa pula motifnya?",1
"banyak icw : jangan pula pertaruhkan kpk, pak jusuf jokowi",0
terungkap! video tontonan porno di mapolres sumedang hanya diperankan pasangan selingkuh,1
"bocah di desa bekasi disebut tewas hanya karena kejadian bully, kpad imbau ekonomi keluarga berhenti melapor",0
untuk jk soal revisi uu kpk : ekonomi penuntutan tak ada perlu koordinasi baik dengan jaksa agung,0
im komisi kedokteran iii dpr tiang pastikan tampung semua masukan soal capim beri kpk,0
"pun tokoh bukan papua yang diundang pada jokowi eks dan timses, istana : kebetulan saja",0
wagub prop jabar minta pekerja setia di lingkungan kerja pemprov propinsi jabar daftar bpjs – tk,0
anak jepang dan perempuan cucu takut berkumpul lagi temani bj habibie makro di rspad gatot soebroto,0
"gara - gara puntung lalat rokok, lebih 28 ribu hektare lahan di sulteng juga terbakar",0
"topan faxai hantam penerbangan jepang, mempengaruhi 17. 09 000 penumpang telantar layanan di terminal bandara narita",0
"gajah mengamuk ketika ikut merayakan festival perayaan agama masehi di sri lanka, 18 siswa terluka",0
"bencana waduk pacal di bojonegoro surut, 5 lahan tanaman pertanian di 4 kecamatan kecamatan kekeringan",0
keuangan komisi iii dpr gelar rdpu tampung kaji masukan soal berkas seleksi capim merah kpk,0
detik - detik mencekam selama perampokan di rumah kos makan enak gratis untuk diplom duafa di kuala bogor,1
"hut peringatan ke - 70, brigif a raider kostrad 13 cm ziarah tanah ke makam bupati galuh ciamis",0
pesan kpk ke rakyat jokowi : masyarakat pembangunan absolut tak tercapai jika masih berjalan digerogoti korupsi,0
tahun 40 jurusan perguruan tinggi ekonomi muhammadiyah se - indonesia tolak revisi uu tentang kpk,0
1. jumlah 904 pelanggar sedang ditilang makan di hari perdana melihat perluasan kategori ganjil - genap kemarin,0
"telah dirawat yang intensif di rspad, alternatif bj habibie salat sambil enak berbaring",0
i 4 bulan lagi polrestabes surabaya punya tempat berdiri parkir mobil bertingkat,0
"sepekan sejak dilantik, anggota terpilih dprd jabar gadai ini sk ke dalam bank",0
"poyuono : sudah jelas, sikap pemerintah - dpr revisi uu kpk ini agar lebih mudah rampok pengguna uang demi negara",0
oleh ratusan tuntutan mahasiswa surabaya dukung revisi akademik uu kpk,0
lengkap abraham omar samad : jokowi harus bangun minta bagian dpr setop pembahasan revisi uu kpk,0
satgas karhutla fokus investigasi 2017 penyebab kebakaran kebun tebu ilegal ptpn vii ogan ilir ilir,0
"fenomena anggota keuangan dewan dengan gadaikan sk, listrik di bawah dprd surabaya juga ada",0
anies bisa anggap perbaikan ketinggian udara jakarta lewat ganjil sampai genap jika tak bisa instan,0
"tepis kabar bully, polisi sebut bocah bocah meninggal komplikasi di rsud bekasi kota akibat demam tetanus",0
tokoh masyarakat papua bicara ke pejabat jokowi soal persaingan ekonomi penduduk dan lingkungan,0
"tentang kritik revisi uu kpk kpk, oleh rektor ipb - pemuka agama mandiri tolak pelemahan penyidik kpk",0
menggalang pembiayaan bantuan ibu daerah kota baru,0
ekonomi pasukan kostrad dikerahkan untuk tangkap tersangka pelaku perkelahian karhutla di angka riau,0
"cerita warga remaja di jepara, mandi rawa sehari sekali akibat dari kekeringan",0
"kendaraan listrik hanya bebas dari aturan enam ganjil - genap, jalan ini banyak alasannya",1
surabaya satu - satunya identitas korban tak selamat kecelakaan maut di nganjuk diciduk tersangka kasus narkoba,0
dari jokowi terbang kuning dari aceh selatan ke wamena : jauhnya seperti london dan ke istanbul,0
"ini home industry arak bogor di tengah sidoarjo digerebek, dua orang diamankan",0
"jokowi sedang ke kam papua lagi sebelum paling telat oktober, resmikan ke jembatan tinggi holtekamp",0
"tahun ada juga ganjil genap, dengan anies sebut pengguna angkutan umum capai baca rekor",0
trump — umumkan perundingan damai pbb dengan muslimah taliban sudah mati,0
"menanti "" lima kebijakan mati gila "" jokowi",1
pemimpin jokowi itu janjikan 1. 000 kelahiran sarjana papua bekerja di bumn - bumn perusahaan skala besar,0
ibu ibu bayi yang tadi kaki - tangannya masih putus semua di tangerang serahkan diri ke polisi,0
melihat akar ke halaman belakang pengusutan percobaan kpk soal mafia petro migas terkait petral,0
banyuwangi dan persahabatan perawat jepang kolaborasi bikin sehat usaha kuliner wisata warga,0
dua seat korban kecelakaan maut merpati di nganjuk ternyata dpo mempunyai kasus kepemilikan narkoba,0
kabut asap bikin fasilitas penerbangan yang di kota banjarmasin terganggu,0
tokoh papua minta tanda jokowi bangun kembali istana presiden di wilayah papua,0
jaksa kpk – minta ma gantung tolak pk ke novanto,0
akhirnya! pemkot provinsi pekanbaru liburkan sekolah sd dan sejumlah smp karena terkena kabut asap,1
video porno tv pasangan pria dewasa besar gegerkan sumedang,0
"tata cara masuk umroh, tepat urutan, dan pola bacaannya",0
"pisah 40 persen dewan daerah ciamis vi gadaikan sk, ketua : daripada jalanan mencuri uang ganti negara",0
yang seputar kecelakaan maut di jalur nganjuk - madiun hingga yang tewaskan … 3 jumlah orang,0
untuk pj walkot makassar lalu sebut itu rilis umum edaran antisipasi syiah rekomendasi mui,0
"dipimpin paul ibas, demokrat gelar pembekalan bersama anggota badan legislatif tahun 2019 - 2024",0
maupun jokowi : tahun paling depan istana presiden baru di papua mulai dibangun,0
perdana jokowi undang cari tokoh papua ke istana besar hari ini,0
china geram di atas substansi pernyataan perdana menlu as soal perlakuan terhadap uighur,0
oso soal barang revisi lain uu tentang kpk : tentunya kita tidak tidak akan melemahkan,0
"pada 154 pelanggar yang ditilang di jakbar, alasannya tidak tahu apakah ganjil a genap",0
"usai jenguk bj bj habibie, anies : sbi semoga tangan allah pun turunkan mukjizat",0
gubernur khofifah dengan gandeng istri isei kembangkan keluarga one single pesantren one product,0
resmi sby jenguk bj muhammad habibie di rs rspad gatot at soebroto,0
"hut ke - 19 74, tni al al akan bertekad terus tingkatkan sdm hr untuk indonesia lebih maju",0
"buka puasa luwur lidah sunan kudus, ribuan paket nasi basi berkat manis dibagikan",0
